Назва вакансії,Компанія,Зарплата,Місто,Час публікації,Посилання
Хімік-технолог,ProCare,30000–70000 ,Київ,11 квітня 2025,https://www.work.ua/jobs/6242699/
Технолог-хімік,Зет&Джей консалтинг ГмбХ,45000–50000 ,Київ,9 квітня 2025,https://www.work.ua/jobs/5409960/
"Хімік, хімічний інженер",Reachlaw,30000–54000 ,Київ,9 квітня 2025,https://www.work.ua/jobs/6389965/
"Хімік-інженер (водопідготовка, водоочищення)","Капітал-Рост, ТОВ",30000–40000 ,Київ,15 квітня 2025,https://www.work.ua/jobs/6414145/
Хімік в агрокомпанію,"Агротест, аналітична лабораторія",30000–35000 ,Київ,22 березня 2025,https://www.work.ua/jobs/5834852/
"Хімік-технолог, розробник косметики",NG Cosmetics,25000–35000 ,Київ,22 березня 2025,https://www.work.ua/jobs/5664495/
Хімік агрохімічної лабораторії,"МХП, ПрАТ",28000–29500 ,Київ,15 квітня 2025,https://www.work.ua/jobs/5946992/
Хімік-технолог (мийні засоби та косметична продукція),Бланідас,25000–30000 ,Київ,14 квітня 2025,https://www.work.ua/jobs/4649031/
Хімік-технолог R&D,Мікрохім,Не вказано,Київ,15 квітня 2025,https://www.work.ua/jobs/6224753/
Хімік,Соти,Не вказано,Київ,15 квітня 2025,https://www.work.ua/jobs/6437131/
Хімік,"МХП, ПрАТ",Не вказано,Київ,15 квітня 2025,https://www.work.ua/jobs/6411913/
Експерт-хімік управління матеріалів з біодоступності та біоеквівалентності,Державний експертний центр МОЗ України,Не вказано,Київ,15 квітня 2025,https://www.work.ua/jobs/5570409/
Хімік (виробництво),"SOVA, jewelry house",Не вказано,Київ,14 квітня 2025,https://www.work.ua/jobs/6515650/
"Інженер-технолог, хімік","Файдаль Україна, ТОВ",Не вказано,Київ,14 квітня 2025,https://www.work.ua/jobs/6488053/
Хімік-технолог у відділ розробки нової продукції,"Авер-Тех, ТОВ",Не вказано,Київ,14 квітня 2025,https://www.work.ua/jobs/5399708/
Хімік-хроматографіст у Київ,Хімлаборреактив (HLR),Не вказано,Київ,14 квітня 2025,https://www.work.ua/jobs/5638493/
Хімік-аналітик,"МХП, ПрАТ",Не вказано,Київ,14 квітня 2025,https://www.work.ua/jobs/6062220/
Хімік,Хімлаборреактив (HLR),Не вказано,Київ,14 квітня 2025,https://www.work.ua/jobs/6079203/
Хімік-хроматографіст,Артеріум,Не вказано,Київ,14 квітня 2025,https://www.work.ua/jobs/6489742/
Хімік-хроматографіст,Гледфарм,Не вказано,Київ,14 квітня 2025,https://www.work.ua/jobs/5985447/
Хімік-аналітик (дослідний центр),Артеріум,Не вказано,Київ,11 квітня 2025,https://www.work.ua/jobs/6512275/
Хімік,"Борщагівський ХФЗ, НВЦ, ПАТ",Не вказано,Київ,11 квітня 2025,https://www.work.ua/jobs/6357361/
Хімік-аналітик,"Асіно Україна, ТОВ",Не вказано,Київ,11 квітня 2025,https://www.work.ua/jobs/5387065/
Хімік,Farmak,Не вказано,Київ,10 квітня 2025,https://www.work.ua/jobs/6421534/
Головний хімік-технолог,"Ейрлоджикс, ТОВ",Не вказано,Київ,10 квітня 2025,https://www.work.ua/jobs/6290540/
Хімік-синтетик,"Єнамін, НВП, ТОВ",Не вказано,Київ,10 квітня 2025,https://www.work.ua/jobs/5718097/
Хімік відділу контролю якості (фармацевтика),Артеріум,Не вказано,Київ,10 квітня 2025,https://www.work.ua/jobs/6303370/
Хімік-аналітик (ст. м. Політехнічний інститут),"МХП, ПрАТ",Не вказано,Київ,9 квітня 2025,https://www.work.ua/jobs/6344620/
Хімік-лаборант (легкозаймисті та небезпечні речовини),"Лаврів О.І., ФОП (рекрутингова агенція)",Не вказано,Київ,18 березня 2025,https://www.work.ua/jobs/6411265/
